comp,yr,conc,angle,radius,calc_x,calc_y
Rubinstein,1891,2,2.33834453193331,23,-15.9705785023458,16.5511516910579
Saint-Saëns,1891,3,2.33834453193331,27,-18.7480704157972,19.4296128547202
Schumann,1891,2,2.33834453193331,31,-21.5255623292487,22.3080740183825
Tchaikovsky,1891,1,2.33834453193331,34,-23.6086812643373,24.4669198911291
Beethoven,1892,4,2.32049457367428,38,-25.8938817045679,27.8119918429056
Chopin,1892,1,2.32049457367428,32,-21.8053740670045,23.4206247098152
Rubinstein,1892,2,2.32049457367428,23,-15.6726126106595,16.8335740101797
Tchaikovsky,1892,1,2.32049457367428,34,-23.1682099461923,24.8844137541787
Schumann,1893,2,2.30264461541525,31,-20.7156195680449,23.0621574427033
Liszt,1894,2,2.28479465715621,33,-21.6104042201944,24.9397359536905
MacDowell,1894,2,2.28479465715621,21,-13.752075412851,15.8707410614394
Beethoven,1895,3,2.26694469889718,38,-24.3681470839371,29.1580762001818
Liszt,1895,1,2.26694469889718,33,-21.1618119413138,25.3214872264737
Tchaikovsky,1895,2,2.26694469889718,34,-21.8030789698385,26.0888050212153
Brahms,1896,2,2.24909474063815,36,-22.5888842657107,28.0310953697912
Liszt,1896,2,2.24909474063815,33,-20.7064772435681,25.6951707556419
Saint-Saëns,1896,4,2.24909474063815,27,-16.941663199283,21.0233215273434
Tchaikovsky,1896,1,2.24909474063815,34,-21.333946250949,26.4738122936917
Beethoven,1897,2,2.23124478237911,38,-23.3119005359893,30.0092534628928
Grieg,1897,2,2.23124478237911,28,-17.1771898686237,22.1120814989736
Liszt,1897,2,2.23124478237911,33,-20.2445452023065,26.0606674809332
Rubinstein,1897,2,2.23124478237911,23,-14.1098345349409,18.1634955170141
Brahms,1898,2,2.21339482412008,36,-21.5739959944085,28.819484673277
Grieg,1898,1,2.21339482412008,28,-16.7797746623177,22.4151547458821
Litolff,1898,1,2.21339482412008,6,-3.59566599906808,4.80324744554616
Rubinstein,1898,1,2.21339482412008,23,-13.783386329761,18.4124485412603
Saint-Saëns,1898,1,2.21339482412008,27,-16.1804969958064,21.6146135049577
Tchaikovsky,1898,3,2.21339482412008,34,-20.3754406613858,27.2184021914283
Beethoven,1899,1,2.19554486586105,38,-22.2259464982248,30.8221884728851
Chopin,1899,1,2.19554486586105,32,-18.7165865248209,25.9555271350611
Grieg,1899,2,2.19554486586105,28,-16.3770132092183,22.7110862431785
Liszt,1899,2,2.19554486586105,33,-19.3014798537215,26.7666373580318
Litolff,1899,1,2.19554486586105,6,-3.50935997340392,4.86666133782396
Rubinstein,1899,1,2.19554486586105,23,-13.452546564715,18.6555351283252
Schumann,1899,3,2.19554486586105,31,-18.1316931959202,25.1444169120904
